expt,physics_ml,physics,ml
-2.49,-2.608407482147217,-5.059,2.4505925
-3.82,-3.7634643402099606,-10.084,6.3205357
-0.98,-1.857146341741085,-1.884,0.026853658
-1.59,-0.8965705282688141,-1.157,0.26042947
-4.55,-5.184910534143448,-5.567,0.38208947
-2.73,-2.456222978591919,-3.516,1.059777
-0.53,-1.1624104809761047,-1.92,0.7575895
-0.25,-0.167650059223175,-0.941,0.77334994
-2.82,-2.716666652202606,-1.839,-0.87766665
2.51,1.4237758357524872,1.177,0.24677584
-0.83,-0.029906486928463094,-0.1260000000000001,0.09609351
-7.5,-8.04234970855713,-13.788,5.7456503
-1.99,-2.722794933795929,-3.258,0.53520507
-6.88,-6.005645040512084,-8.578999999999999,2.573355
-5.22,-2.1508138751983643,0.565,-2.7158139
-0.83,-1.3216272788047794,-1.9830000000000003,0.6613727
-0.68,-0.16732427883148193,-1.373,1.2056757
-2.49,-3.096156509399414,-4.558,1.4618435
-0.99,-1.7512042393088343,-1.7380000000000002,-0.013204239
-6.16,-6.057813495874404,-6.337999999999999,0.2801865
-2.23,-2.0478114719390863,-4.436999999999999,2.3891885
-0.53,-0.001328767538070652,-0.47,0.46867123
-5.1,-5.214806344747544,-5.384,0.16919366
-4.47,-3.8549497131705284,-3.952,0.09705029
-7.17,-7.472798992156982,-4.476,-2.996799
1.38,1.0299177775382995,0.176,0.8539178
0.29,0.015699894428253147,-0.53,0.5456999
-10.08,-7.068397079467774,-15.336,8.267603
-2.78,-3.1173353767395016,-7.81,4.6926646
-11.0,-9.822245916366578,-13.534,3.711754
-3.15,-4.582700413703919,-6.369000000000001,1.7862996
-6.21,-5.10720309829712,-10.271,5.163797
-5.26,-5.4192228691577915,-5.908,0.48877713
-1.14,-1.8896762363910673,-2.143,0.25332376
-2.4,-2.031667984008789,-4.938,2.906332
-2.33,-2.1364711217880252,-1.618,-0.5184711
2.38,1.7253985056877137,1.201,0.5243985
1.77,1.6556605854034423,-1.971,3.6266606
-1.62,-2.1587870759963987,-0.4169999999999998,-1.7417871
-1.79,-2.6111941196918487,-2.904,0.29280588
-6.79,-6.942314421892166,-7.431,0.48868558
-1.1,-1.8689246587157249,-1.932,0.06307534
-0.9,-1.0918049688339235,-2.462,1.370195
-3.41,-3.5950356245040895,-4.95,1.3549644
-3.52,-3.603357831001282,-5.341,1.7376422
-1.43,-1.503060992002487,-1.914,0.410939
0.0,-0.06151300120353698,-0.238,0.176487
-20.52,-18.301819971084594,-14.703,-3.59882
1.47,1.2751270170211793,0.562,0.713127
-4.62,-3.9595610525608063,-3.734,-0.22556105
-2.38,-3.8342040412425993,-3.643,-0.19120404
-7.19,-8.972365295410157,-13.637,4.6646347
2.1,1.4167335255146027,1.092,0.32473353
-4.02,-3.163799378812313,-3.149,-0.014799379
-10.0,-9.516989517688751,-10.138,0.6210105
-3.5,-2.681060516357422,-6.937,4.2559395
-2.07,-2.2571450653076175,-5.094,2.836855
-0.33,-0.41734058666229235,-0.7229999999999999,0.3056594
-0.9,-1.5840378064513208,-1.491,-0.09303781
1.83,1.5375978841781617,0.8140000000000001,0.7235979
0.1,-1.6270743446350089,-8.008,6.3809257
-1.5,-1.9040730335712428,-1.4539999999999995,-0.45007303
-6.6,-5.880519989967347,-7.579000000000001,1.69848
-7.0,-8.440989505767822,-13.862,5.4210105
-0.46,-1.284684510707855,-2.058,0.7733155
