expt,physics_ml,physics,ml
-2.49,-2.727516348152161,-4.00628,1.2787637
-3.82,-4.129720947494507,-7.40799,3.278269
-0.98,-1.1339288697075844,-1.03292,-0.10100887
-1.59,-1.5003802085590363,-1.07732,-0.4230602
-4.55,-5.101249343776703,-5.87065,0.76940066
-2.73,-1.9942342056083677,-2.41788,0.4236458
-0.53,-1.5301495119094848,-2.7346,1.2044505
-0.25,0.09043657485961909,-0.71708,0.8075166
-2.82,-2.59128241897583,-1.56176,-1.0295224
2.51,2.242589908256531,1.40514,0.8374499
-0.83,-0.43126316151809696,-0.126202,-0.30506116
-7.5,-8.135876442337036,-10.8339,2.6980236
-1.99,-2.0331642440795896,-2.4254,0.39223576
-6.88,-5.864277684516907,-6.78707,0.9227923
-5.22,-3.933352402557373,0.758061,-4.6914134
-0.83,-0.9298380287361145,-1.12182,0.19198197
-0.68,-0.4226113004994393,-0.52897,0.1063587
-2.49,-2.3628936555099487,-3.53497,1.1720763
-0.99,-0.7835142447090149,-1.64191,0.85839576
-6.16,-6.165187189826965,-7.09326,0.9280728
-2.23,-2.278669361152649,-3.54854,1.2698706
-0.53,-0.7312743848400116,-0.480758,-0.25051638
-5.1,-5.029108238830567,-6.24389,1.2147818
-4.47,-4.145306280202866,-4.35282,0.20751372
-7.17,-7.196358161697388,-4.25126,-2.9450982
1.38,1.136597468208313,0.742274,0.39432347
0.29,0.2826428141856193,0.17009,0.112552814
-10.08,-9.523157997512817,-12.6779,3.154742
-2.78,-3.0948251074981687,-5.86792,2.773095
-11.0,-11.610186818695068,-11.1336,-0.47658682
-3.15,-3.934835815811157,-4.9079,0.9730642
-6.21,-6.013739418029784,-11.8365,5.8227606
-5.26,-4.79967158618927,-5.99241,1.1927384
-1.14,-1.8294297101593018,-1.29576,-0.5336697
-2.4,-3.082593738517761,-4.12996,1.0473663
-2.33,-1.918140919315815,-1.8648,-0.05334092
2.38,2.4058780751419064,1.44952,0.9563581
1.77,1.263605959388733,0.791322,0.47228396
-1.62,-2.343677269744873,0.120075,-2.4637523
-1.79,-2.0252383854675293,-2.33928,0.3140416
