expt,physics_ml,physics,ml
-2.49,-2.594135284423828,0,-2.5941353
-3.82,-4.029298782348633,0,-4.029299
-0.98,-1.004736304283142,0,-1.0047363
-1.59,-1.4441752433776855,0,-1.4441752
-4.55,-5.316020488739014,0,-5.3160205
-2.73,-1.9687399864196777,0,-1.96874
-0.53,-0.6830804347991943,0,-0.68308043
-0.25,-0.34778934717178345,0,-0.34778935
-2.82,-3.1784191131591797,0,-3.178419
2.51,2.538583278656006,0,2.5385833
-0.83,-1.3601332902908325,0,-1.3601333
-7.5,-8.365607261657715,0,-8.365607
-1.99,-1.864661693572998,0,-1.8646617
-6.88,-7.306695461273193,0,-7.3066955
-5.22,-4.881171703338623,0,-4.8811717
-0.83,-0.917115330696106,0,-0.91711533
-0.68,-0.21639153361320496,0,-0.21639153
-2.49,-2.9245290756225586,0,-2.924529
-0.99,-0.9170939922332764,0,-0.917094
-6.16,-5.977059841156006,0,-5.97706
-2.23,-2.1848831176757812,0,-2.184883
-0.53,-0.7178432941436768,0,-0.7178433
-5.1,-5.04172420501709,0,-5.041724
-4.47,-4.51864767074585,0,-4.5186477
-7.17,-7.178222179412842,0,-7.178222
1.38,1.550500512123108,0,1.5505005
0.29,0.3660721480846405,0,0.36607215
-10.08,-9.986567497253418,0,-9.9865675
-2.78,-3.0196588039398193,0,-3.0196588
-11.0,-11.330289840698242,0,-11.33029
-3.15,-3.9957215785980225,0,-3.9957216
-6.21,-6.384667873382568,0,-6.384668
-5.26,-5.4232378005981445,0,-5.423238
-1.14,-0.9482427835464478,0,-0.9482428
-2.4,-2.6687192916870117,0,-2.6687193
-2.33,-2.5142898559570312,0,-2.5142899
2.38,2.6150410175323486,0,2.615041
1.77,1.9131078720092773,0,1.9131079
-1.62,-1.3596525192260742,0,-1.3596525
-1.79,-1.8781160116195679,0,-1.878116
-6.79,-6.437598705291748,0,-6.4375987
-1.1,-1.0603786706924438,0,-1.0603787
-0.9,-0.8137891292572021,0,-0.8137891
-3.41,-3.4490585327148438,0,-3.4490585
-3.52,-3.5711405277252197,0,-3.5711405
-1.43,-1.2675871849060059,0,-1.2675872
0.0,0.05812951922416687,0,0.05812952
-20.52,-19.655025482177734,0,-19.655025
1.47,1.6136912107467651,0,1.6136912
-4.62,-4.761302947998047,0,-4.761303
-2.38,-2.144101619720459,0,-2.1441016
-7.19,-8.141091346740723,0,-8.141091
2.1,2.608729362487793,0,2.6087294
-4.02,-4.387286186218262,0,-4.387286
-10.0,-9.812500953674316,0,-9.812501
-3.5,-3.5622644424438477,0,-3.5622644
-2.07,-2.500664710998535,0,-2.5006647
-0.33,-0.5729211568832397,0,-0.57292116
-0.9,-0.7689695358276367,0,-0.76896954
1.83,1.7104301452636719,0,1.7104301
0.1,-0.3185042440891266,0,-0.31850424
-1.5,-1.3463693857192993,0,-1.3463694
-6.6,-6.538235187530518,0,-6.538235
-7.0,-7.504466533660889,0,-7.5044665
-0.46,-0.40524229407310486,0,-0.4052423
-10.17,-9.992337226867676,0,-9.992337
-5.66,-5.4382147789001465,0,-5.438215
1.83,2.0087103843688965,0,2.0087104
-0.1,-0.14705604314804077,0,-0.14705604
-0.45,-0.26039350032806396,0,-0.2603935
3.16,2.530724287033081,0,2.5307243
-0.63,-0.8450762033462524,0,-0.8450762
2.51,2.610813617706299,0,2.6108136
-3.15,-3.274690628051758,0,-3.2746906
-2.56,-3.0049774646759033,0,-3.0049775
-9.51,-9.52458667755127,0,-9.524587
-5.0,-5.187089443206787,0,-5.1870894
-14.21,-14.964106559753418,0,-14.964107
2.55,2.276398181915283,0,2.2763982
-2.56,-2.64992618560791,0,-2.6499262
-6.25,-6.40070915222168,0,-6.400709
-2.92,-3.1714961528778076,0,-3.1714962
-6.0,-6.529683589935303,0,-6.5296836
-1.66,-1.53118896484375,0,-1.531189
-11.85,-11.191357612609863,0,-11.191358
-4.1,-4.178913593292236,0,-4.1789136
-7.66,-8.012984275817871,0,-8.012984
-1.45,-1.7446060180664062,0,-1.744606
-1.93,-1.6159818172454834,0,-1.6159818
-1.36,-0.9741125106811523,0,-0.9741125
0.25,0.011211365461349487,0,0.011211365
0.34,0.38699349761009216,0,0.3869935
2.88,2.6382203102111816,0,2.6382203
-4.52,-4.677395343780518,0,-4.6773953
-2.26,-2.4657797813415527,0,-2.4657798
2.56,2.6026082038879395,0,2.6026082
-5.33,-3.628925085067749,0,-3.628925
-4.8,-4.752587795257568,0,-4.752588
-9.76,-10.032336235046387,0,-10.032336
-9.65,-9.872344017028809,0,-9.872344
-0.78,-0.9438532590866089,0,-0.94385326
-5.04,-4.895531177520752,0,-4.895531
-9.8,-10.367133140563965,0,-10.367133
-18.72,-18.448566436767578,0,-18.448566
-10.64,-10.402094841003418,0,-10.402095
-2.22,-2.2443413734436035,0,-2.2443414
-7.77,-7.6213202476501465,0,-7.6213202
-9.61,-10.584799766540527,0,-10.5848
-3.68,-4.02050256729126,0,-4.0205026
-4.78,-4.682824611663818,0,-4.6828246
-4.68,-5.963140487670898,0,-5.9631405
-1.24,-1.0418436527252197,0,-1.0418437
-4.39,-4.76852560043335,0,-4.7685256
-9.94,-10.40181827545166,0,-10.401818
-6.13,-6.44694185256958,0,-6.446942
-6.13,-6.585498332977295,0,-6.5854983
-6.09,-6.574185848236084,0,-6.574186
-3.65,-3.5962131023406982,0,-3.596213
-3.78,-3.1827144622802734,0,-3.1827145
-1.4,-1.8778361082077026,0,-1.8778361
1.16,1.2938090562820435,0,1.293809
-1.08,-1.0544490814208984,0,-1.0544491
-4.31,-4.4228739738464355,0,-4.422874
1.32,1.5971633195877075,0,1.5971633
-6.69,-6.596106052398682,0,-6.596106
-0.85,-0.9507043361663818,0,-0.95070434
-0.9,-1.188493251800537,0,-1.1884933
2.93,2.6512553691864014,0,2.6512554
-2.93,-2.932025194168091,0,-2.9320252
-5.91,-5.866734504699707,0,-5.8667345
-3.64,-3.9949491024017334,0,-3.994949
-4.91,-5.168971061706543,0,-5.168971
-0.86,-0.8824119567871094,0,-0.88241196
-5.53,-5.276094913482666,0,-5.276095
-4.95,-5.154063701629639,0,-5.1540637
0.14,0.6553068161010742,0,0.6553068
-0.8,-0.41081494092941284,0,-0.41081494
-13.43,-13.776457786560059,0,-13.776458
-7.78,-8.578455924987793,0,-8.578456
-1.92,-1.9851256608963013,0,-1.9851257
-2.64,-2.9855923652648926,0,-2.9855924
-8.61,-8.789871215820312,0,-8.789871
-4.04,-3.915372610092163,0,-3.9153726
-5.26,-5.432281970977783,0,-5.432282
-0.11,0.24876508116722107,0,0.24876508
-16.92,-17.25520133972168,0,-17.255201
-3.88,-4.119863033294678,0,-4.119863
-3.12,-2.605555772781372,0,-2.6055558
-1.74,-1.612988829612732,0,-1.6129888
-0.77,-0.7739216089248657,0,-0.7739216
-1.21,-1.0284045934677124,0,-1.0284046
-4.7,-4.335157871246338,0,-4.335158
-5.94,-5.644745349884033,0,-5.6447453
-0.23,0.03323030471801758,0,0.033230305
-4.4,-4.514727592468262,0,-4.5147276
-2.11,-2.4089009761810303,0,-2.408901
-3.04,-3.2478394508361816,0,-3.2478395
-4.59,-4.641520977020264,0,-4.641521
-4.09,-4.24952507019043,0,-4.249525
-0.16,-0.4383963644504547,0,-0.43839636
-3.28,-3.3144874572753906,0,-3.3144875
