expt,physics_ml,physics,ml
-2.49,-2.3517581294441223,-3.00434,0.6525819
-3.82,-3.3651335488128664,-6.57758,3.2124465
-0.98,-1.5347504307556152,-1.45543,-0.07932043
-1.59,-1.563747652194977,-0.907798,-0.65594965
-4.55,-5.599881209831238,-4.56098,-1.0389012
-2.73,-2.6625272858428954,-1.61028,-1.0522473
-0.53,-0.839356393699646,0.516745,-1.3561014
-0.25,0.0805601950969696,-0.333791,0.4143512
-2.82,-2.32714282651186,-2.20814,-0.11900283
2.51,2.216345913476944,1.90732,0.3090259
-0.83,-0.41877289981689453,0.0647066,-0.4834795
-7.5,-7.6628423625946045,-11.5907,3.9278576
-1.99,-2.3377486364269258,-2.59119,0.25344136
-6.88,-6.1951343309783935,-7.73074,1.5356057
-5.22,-3.266545784561157,-0.845567,-2.4209788
-0.83,-0.85744030397892,-0.78156,-0.075880304
-0.68,-0.10956632055330276,-0.174978,0.06541168
-2.49,-2.534865205450058,-2.04742,-0.4874452
-0.99,-1.6434979578094482,0.370867,-2.014365
-6.16,-6.140575370845795,-5.22681,-0.9137654
-2.23,-1.7799573071670531,-2.60682,0.8268627
-0.53,-0.6821614212055207,-0.328502,-0.35365942
-5.1,-5.126107384757995,-4.24733,-0.8787774
-4.47,-4.207757814559937,-3.01116,-1.1965978
-7.17,-7.399089865264893,-5.51506,-1.8840299
1.38,1.4030856549930573,1.24102,0.16206565
0.29,0.3600353871765136,0.587594,-0.22755861
-10.08,-9.215302415847779,-12.6835,3.4681976
-2.78,-2.52974307975769,-4.6221,2.092357
-11.0,-11.274174432086944,-10.5443,-0.72987443
-3.15,-3.133892529525757,-6.23754,3.1036475
-6.21,-5.43893361732483,-8.16397,2.7250364
-5.26,-5.556077059974671,-4.98249,-0.57358706
-1.14,-1.421169651733637,-1.37383,-0.04733965
-2.4,-2.617574392786026,-3.03474,0.4171656
-2.33,-2.0313217862091064,-0.656971,-1.3743508
2.38,2.2096957594299313,1.92139,0.28830576
1.77,1.934827840642929,2.14558,-0.21075216
-1.62,-1.1148563294181824,-0.702526,-0.41233033
-1.79,-2.0617794334888457,-2.24375,0.18197057
-6.79,-6.390977564105987,-5.55451,-0.83646756
-1.1,-1.6832986462402344,0.13347,-1.8167686
-0.9,-1.0969077135014533,-1.10628,0.0093722865
-3.41,-3.552075535182953,-2.60413,-0.94794554
-3.52,-3.3266281905460358,-2.92428,-0.4023482
-1.43,-1.114549843006134,-1.25393,0.13938016
0.0,0.5531618318667412,0.494274,0.058887832
-20.52,-18.201665882492065,-15.0244,-3.177266
1.47,1.5357124292361737,1.58098,-0.04526757
-4.62,-4.651826002044677,-2.76292,-1.888906
-2.38,-2.5196559437084196,-2.19608,-0.32357594
-7.19,-7.176140414810181,-11.0791,3.9029596
2.1,1.9551098960590363,1.77912,0.1759899
-4.02,-3.329836070432663,-3.53689,0.20705393
-10.0,-9.251608448410035,-7.0254,-2.2262084
-3.5,-3.4593077095603944,-3.82261,0.3633023
-2.07,-2.159075699472427,-1.9494,-0.2096757
-0.33,0.06222297012138367,-0.111232,0.17345497
-0.9,-0.6100881702537537,-0.454687,-0.15540117
1.83,1.5992392375278472,1.41048,0.18875924
0.1,-0.4115531592798233,-0.295295,-0.11625816
-1.5,-1.2307138169174194,0.226437,-1.4571508
-6.6,-7.329759529266357,-6.11241,-1.2173495
-7.0,-7.65551276397705,-10.9895,3.3339872
-0.46,0.0247565691566467,0.349135,-0.32437843
-10.17,-9.85042615737915,-10.1784,0.32797384
-5.66,-5.410921460762024,-5.03739,-0.37353146
1.83,1.7986235832691193,1.48245,0.31617358
